sim,q,diff
V1,1,0.254166169170432
V2,1,0.335806810678108
V3,1,0.425362873064856
V4,1,0.275446862833263
V5,1,0.279470207460463
V6,1,0.346895195986704
V7,1,0.207482516385994
V8,1,0.27056460549035
V9,1,0.377494181751089
V10,1,0.327025529124668
V11,1,0.351645080895111
V12,1,0.291024791738508
V13,1,0.320010594060904
V14,1,0.286827571368789
V15,1,0.27371817788061
V16,1,0.412353708433869
V17,1,0.388891364272808
V18,1,0.382640190648615
V19,1,0.29166706452736
V20,1,0.205193060138882
V21,1,0.329775929713378
V22,1,0.304739721595666
V23,1,0.300310708603803
V24,1,0.303195566186645
V25,1,0.410997446058744
V26,1,0.342756080520999
V27,1,0.364270528091978
V28,1,0.242198858984025
V29,1,0.364019070805938
V30,1,0.229932182109437
V31,1,0.239309328138887
V32,1,0.337071580274341
V33,1,0.299925161531846
V34,1,0.28838535513043
V35,1,0.391746926581305
V36,1,0.24496189649409
V37,1,0.371195779530495
V38,1,0.327183306653367
V39,1,0.361127278109748
V40,1,0.290092057077942
V41,1,0.258623407561643
V42,1,0.283446918841463
V43,1,0.326140921681926
V44,1,0.318566553480423
V45,1,0.342297471798716
V46,1,0.310363619024557
V47,1,0.262325836198045
V48,1,0.349319363218285
V49,1,0.34716589397884
V50,1,0.29018452660371
V51,1,0.367679496699253
V52,1,0.199797797836894
V53,1,0.304822529571837
V54,1,0.284209161946166
V55,1,0.343821257815804
V56,1,0.305056148084901
V57,1,0.279796346901577
V58,1,0.292745294829075
V59,1,0.249734769635182
V60,1,0.294962160234846
V61,1,0.274154990549405
V62,1,0.347419069092709
V63,1,0.250643194597984
V64,1,0.339610600791048
V65,1,0.268401182294269
V66,1,0.24504420866657
V67,1,0.266093094628303
V68,1,0.314518027218668
V69,1,0.259751656074613
V70,1,0.284320501961574
V71,1,0.306985153705071
V72,1,0.332183322001356
V73,1,0.227556291544204
V74,1,0.280157499888688
V75,1,0.353680170577931
V76,1,0.245509874757516
V77,1,0.366100623708732
V78,1,0.390518783421157
V79,1,0.331233836410192
V80,1,0.338826791124049
V81,1,0.295188333009762
V82,1,0.364099774256971
V83,1,0.263056386179429
V84,1,0.315994792124997
V85,1,0.310680947415904
V86,1,0.315268487932727
V87,1,0.313040862504309
V88,1,0.306686245524986
V89,1,0.294415326156681
V90,1,0.353310822019438
V91,1,0.246450237561589
V92,1,0.291645212818821
V93,1,0.280273744784964
V94,1,0.258586911878339
V95,1,0.353965553359856
V96,1,0.286052622979369
V97,1,0.220561546914198
V98,1,0.276018978051198
V99,1,0.289372912075706
V100,1,0.271458851228729
V101,1,0.333874288264653
V102,1,0.266743988085764
V103,1,0.297539256760984
V104,1,0.272158078137579
V105,1,0.356425881873463
V106,1,0.335910399467664
V107,1,0.308701097785573
V108,1,0.291976466484442
V109,1,0.293217856161377
V110,1,0.290002187871409
V111,1,0.367336851118097
V112,1,0.302636955595389
V113,1,0.281121915280508
V114,1,0.280962488703963
V115,1,0.334494698830952
V116,1,0.290419744599035
V117,1,0.274390839117856
V118,1,0.287978078340686
V119,1,0.282815213353857
V120,1,0.352511693082462
V121,1,0.320533127591418
V122,1,0.281380601100125
V123,1,0.33767833164832
V124,1,0.324702463731882
V125,1,0.357372571712247
V126,1,0.330718223521416
V127,1,0.329514142690925
V128,1,0.249099604381698
V129,1,0.297201838805833
V130,1,0.302369353778701
V131,1,0.250179344213848
V132,1,0.311406683681042
V133,1,0.336197372429552
V134,1,0.307324245395051
V135,1,0.313116697356378
V136,1,0.264169231793119
V137,1,0.357773082908679
V138,1,0.35980570580989
V139,1,0.301217581542559
V140,1,0.275423433153748
V141,1,0.293211384258242
V142,1,0.284013787423177
V143,1,0.33458426784965
V144,1,0.361936364383936
V145,1,0.31502507878696
V146,1,0.308481471440388
V147,1,0.32896644869659
V148,1,0.346509606938881
V149,1,0.398774723341788
V150,1,0.309556892121478
V151,1,0.315385514649279
V152,1,0.327725843879165
V153,1,0.264908339335136
V154,1,0.310345499353801
V155,1,0.312590739789357
V156,1,0.295790879700007
V157,1,0.358533335121834
V158,1,0.345783174525792
V159,1,0.269779722298694
V160,1,0.369833746161603
V161,1,0.225413871115777
V162,1,0.283043226417874
V163,1,0.298507247030827
V164,1,0.365628164321905
V165,1,0.28841633364695
V166,1,0.253728366285174
V167,1,0.317185194073971
V168,1,0.307129610042239
V169,1,0.265902059693971
V170,1,0.324994749431383
V171,1,0.378750598244324
V172,1,0.363338767517874
V173,1,0.39235834354173
V174,1,0.310061036746419
V175,1,0.241032414941969
V176,1,0.25082874537992
V177,1,0.313754457696746
V178,1,0.353710615424802
V179,1,0.342781717064966
V180,1,0.343350296581875
V181,1,0.326548579918921
V182,1,0.37166447746884
V183,1,0.30349010489735
V184,1,0.355789887229747
V185,1,0.243932628270642
V186,1,0.269775948836141
V187,1,0.253030531829225
V188,1,0.294695526943599
V189,1,0.272667861851673
V190,1,0.223220526422011
V191,1,0.342834047356988
V192,1,0.319877171451665
V193,1,0.334771915411636
V194,1,0.364873926473365
V195,1,0.317005591157425
V196,1,0.261247725677379
V197,1,0.334027661012925
V198,1,0.345690125171586
V199,1,0.327870230211332
V200,1,0.285056749546044
V201,1,0.385002618085963
V202,1,0.28772306058741
V203,1,0.286164479782485
V204,1,0.341997954948752
V205,1,0.255641388141498
V206,1,0.361403331451299
V207,1,0.327269617668705
V208,1,0.252391865510575
V209,1,0.328314982046365
V210,1,0.296743340913466
V211,1,0.278075856872704
V212,1,0.318379385589608
V213,1,0.277505069631957
V214,1,0.326624608990898
V215,1,0.308362137945863
V216,1,0.315705627395019
V217,1,0.248899137459588
V218,1,0.357739079478293
V219,1,0.285495767661459
V220,1,0.272356335889526
V221,1,0.317572690159992
V222,1,0.282739888362855
V223,1,0.338754014466531
V224,1,0.279575447751384
V225,1,0.32703450467821
V226,1,0.356708479475444
V227,1,0.322373925378031
V228,1,0.359381543461382
V229,1,0.227529908487512
V230,1,0.344981586712706
V231,1,0.299070799359129
V232,1,0.307877293001113
V233,1,0.289800666007338
V234,1,0.310075418377707
V235,1,0.262897628988256
V236,1,0.270447748723711
V237,1,0.259626830796279
V238,1,0.241309189669877
V239,1,0.292757579999389
V240,1,0.317379755089661
V241,1,0.284418230994945
V242,1,0.329059670551928
V243,1,0.320434000845026
V244,1,0.320689688197191
V245,1,0.293715707987587
V246,1,0.258894602325441
V247,1,0.349468871834475
V248,1,0.307600387511471
V249,1,0.380921274525647
V250,1,0.338100553753279
V251,1,0.321543008617411
V252,1,0.288265168355309
V253,1,0.30331172754353
V254,1,0.297434901597029
V255,1,0.340076655705047
V256,1,0.37279324122234
V257,1,0.315583850675353
V258,1,0.281881256014515
V259,1,0.302913552244817
V260,1,0.323700981769434
V261,1,0.294069039545917
V262,1,0.280971054734096
V263,1,0.330376112281556
V264,1,0.304741574098799
V265,1,0.374302284337546
V266,1,0.258917032813812
V267,1,0.264841651916427
V268,1,0.33546263354647
V269,1,0.317466217073175
V270,1,0.320967876257896
V271,1,0.242770836842638
V272,1,0.234713083873743
V273,1,0.265773017006282
V274,1,0.254014518639863
V275,1,0.360475364151583
V276,1,0.291967791209672
V277,1,0.269852731412186
V278,1,0.292322927184529
V279,1,0.250551106421838
V280,1,0.190361725321296
V281,1,0.408493700752217
V282,1,0.467352270968945
V283,1,0.254466828423148
V284,1,0.29867609470773
V285,1,0.34047898238245
V286,1,0.360198748187941
V287,1,0.350438867340571
V288,1,0.361035321603168
V289,1,0.34527260221509
V290,1,0.309893994035861
V291,1,0.269308978587745
V292,1,0.331292420149183
V293,1,0.353172860700255
V294,1,0.332187816445185
V295,1,0.345064373411958
V296,1,0.269941477261099
V297,1,0.367544485520753
V298,1,0.248577600692741
V299,1,0.314783545474384
V300,1,0.355901432211482
V301,1,0.392274977117552
V302,1,0.342447668654344
V303,1,0.343853248432154
V304,1,0.362162182515178
V305,1,0.345314339673223
V306,1,0.307164286377159
V307,1,0.363129295106674
V308,1,0.227135821203788
V309,1,0.32697810309466
V310,1,0.310056112664654
V311,1,0.309349217458419
V312,1,0.447789881907113
V313,1,0.261477326816376
V314,1,0.262465667883419
V315,1,0.347903708629929
V316,1,0.366082677887206
V317,1,0.272834086545487
V318,1,0.320861762494289
V319,1,0.322851865989051
V320,1,0.331473195889288
V321,1,0.336570422187791
V322,1,0.27457949058946
V323,1,0.301613188323856
V324,1,0.344772198546806
V325,1,0.292779699511513
V326,1,0.345073963230874
V327,1,0.357641843871747
V328,1,0.267701028413697
V329,1,0.312146138795228
V330,1,0.245128579393892
V331,1,0.243942260496254
V332,1,0.233997670139843
V333,1,0.341631858521126
V334,1,0.364675553074193
V335,1,0.277023282339073
V336,1,0.369113574089468
V337,1,0.247333217213154
V338,1,0.2876009041331
V339,1,0.3321478251152
V340,1,0.303988457124134
V341,1,0.316390476478148
V342,1,0.321555241372366
V343,1,0.254087600970479
V344,1,0.424039837795647
V345,1,0.31187492248155
V346,1,0.247043123644445
V347,1,0.224236982941122
V348,1,0.253786255078254
V349,1,0.333839803321268
V350,1,0.346446591013105
V351,1,0.385532321618541
V352,1,0.308906551527343
V353,1,0.361411745591539
V354,1,0.349423137327648
V355,1,0.348916053194131
V356,1,0.255376445301678
V357,1,0.259486708976979
V358,1,0.244001075307637
V359,1,0.389587757711027
V360,1,0.32833170051174
V361,1,0.217527389212322
V362,1,0.294033283487465
V363,1,0.340252251977745
V364,1,0.430539983561815
V365,1,0.296049018824874
V366,1,0.304730877447895
V367,1,0.277452141230057
V368,1,0.355483061035557
V369,1,0.350362640619451
V370,1,0.373494306545808
V371,1,0.353847569439452
V372,1,0.336243863871303
V373,1,0.349957836737985
V374,1,0.350982284791385
V375,1,0.297500092197566
V376,1,0.347603379849758
V377,1,0.291596434427419
V378,1,0.319553863506314
V379,1,0.363369037067258
V380,1,0.293051684717796
V381,1,0.235929126394254
V382,1,0.313911496766465
