sim,q,diff
V1,1,0.305690223878244
V2,1,0.310095420907189
V3,1,0.248068205903891
V4,1,0.338382161124642
V5,1,0.255518803782238
V6,1,0.284848411742203
V7,1,0.331269065430547
V8,1,0.285419260478221
V9,1,0.297352361001515
V10,1,0.288729453827017
V11,1,0.315193586804625
V12,1,0.24102992500562
V13,1,0.211814820123436
V14,1,0.233190147827003
V15,1,0.223826332906484
V16,1,0.244315992938155
V17,1,0.271965181306214
V18,1,0.378827482017584
V19,1,0.21531224456966
V20,1,0.251682500460774
V21,1,0.228405362760597
V22,1,0.211924002692669
V23,1,0.297350666267477
V24,1,0.260817479091827
V25,1,0.286198284556733
V26,1,0.24440321871549
V27,1,0.26158983956806
V28,1,0.243480521357142
V29,1,0.296355082126766
V30,1,0.383270768013574
V31,1,0.322504604868328
V32,1,0.278849034538411
V33,1,0.323146674021402
V34,1,0.246077301602725
V35,1,0.375469260687964
V36,1,0.275695137666702
V37,1,0.252482273510537
V38,1,0.324552244445528
V39,1,0.389043170546216
V40,1,0.351370038145703
V41,1,0.296843391153331
V42,1,0.330112111672619
V43,1,0.354139209824908
V44,1,0.29761189191612
V45,1,0.386102744499752
V46,1,0.32927675985546
V47,1,0.338603913108031
V48,1,0.338586560527418
V49,1,0.227489275592831
V50,1,0.265907691694437
V51,1,0.219094034333608
V52,1,0.27188959098747
V53,1,0.307246253606493
V54,1,0.218987607789259
V55,1,0.30665762585744
V56,1,0.301135318321087
V57,1,0.251641313854663
V58,1,0.310113076888797
V59,1,0.237862019911901
V60,1,0.249695664517404
V61,1,0.27170337530049
V62,1,0.268149602239831
V63,1,0.32257773326964
V64,1,0.314454638777235
V65,1,0.289222342575215
V66,1,0.323338450389926
V67,1,0.219543317009951
V68,1,0.324532904020145
V69,1,0.303492190360842
V70,1,0.294696408180783
V71,1,0.200226317895982
V72,1,0.292926053869536
V73,1,0.30444976395151
V74,1,0.315492253284049
V75,1,0.249852416059724
V76,1,0.215467109332664
V77,1,0.393365748861413
V78,1,0.249087497619627
V79,1,0.291524206858895
V80,1,0.226855958161707
V81,1,0.2374142651949
V82,1,0.319356811546015
V83,1,0.235734495710318
V84,1,0.280190864145538
V85,1,0.305486956629309
V86,1,0.310429324567139
V87,1,0.234034517480552
V88,1,0.3216365290928
V89,1,0.332545319982074
V90,1,0.357657827578947
V91,1,0.336148239857408
V92,1,0.406569521289129
V93,1,0.30332899360576
V94,1,0.339582169969901
V95,1,0.304046538450251
V96,1,0.245411251151381
V97,1,0.353608247697963
V98,1,0.281289556857985
V99,1,0.254096659004887
V100,1,0.312336351417414
V101,1,0.319117282278924
V102,1,0.275917552639484
V103,1,0.301660586604939
V104,1,0.33271003297692
V105,1,0.362116928650295
V106,1,0.299431182026709
V107,1,0.239927371679656
V108,1,0.233134935972203
V109,1,0.324182282982022
V110,1,0.305042738415608
V111,1,0.333096084033286
V112,1,0.357615205834151
V113,1,0.331658587288729
V114,1,0.289947544066905
V115,1,0.241865342138496
V116,1,0.315823998110716
V117,1,0.318051841927741
V118,1,0.28406073244301
V119,1,0.299210052876276
V120,1,0.266804925578114
V121,1,0.247699159708489
V122,1,0.263466783387429
