sim,q,diff
V1,1,-0.281672426985935
V2,1,-0.259347833983476
V3,1,-0.314703192399371
V4,1,-0.317408055137271
V5,1,-0.261635029388636
V6,1,-0.280697918035692
V7,1,-0.357863924078885
V8,1,-0.277654609953871
V9,1,-0.302297568547068
V10,1,-0.269001889251406
V11,1,-0.338508514309346
V12,1,-0.324672961529167
V13,1,-0.328756204866828
V14,1,-0.331065463047096
V15,1,-0.330080889256578
V16,1,-0.315953707438531
V17,1,-0.340006968448073
V18,1,-0.277807580306799
V19,1,-0.315435711180527
V20,1,-0.298469374264343
V21,1,-0.276762437627987
V22,1,-0.35044729021994
V23,1,-0.2880898261024
V24,1,-0.27425677969245
V25,1,-0.257466301752999
V26,1,-0.2862782618041
V27,1,-0.30377189603194
V28,1,-0.337596563831916
V29,1,-0.365677749211301
V30,1,-0.317963697014889
V31,1,-0.330080339422977
V32,1,-0.278515605477473
V33,1,-0.228861089229852
V34,1,-0.267699878391035
V35,1,-0.228471393854534
V36,1,-0.328068858534444
V37,1,-0.360540050971423
V38,1,-0.284250952217263
V39,1,-0.181391348756534
V40,1,-0.246695931624203
V41,1,-0.310146915950774
V42,1,-0.228905421912764
V43,1,-0.302565076927372
V44,1,-0.274292919688456
V45,1,-0.303599505551517
V46,1,-0.309647268039427
V47,1,-0.276132466004064
V48,1,-0.294254238736869
V49,1,-0.217746018626805
V50,1,-0.239124814137071
V51,1,-0.251981664724148
V52,1,-0.269620905206345
V53,1,-0.302703156672472
V54,1,-0.265906737951319
V55,1,-0.269717458786516
V56,1,-0.343125753696008
V57,1,-0.289904729554529
V58,1,-0.28301137962368
V59,1,-0.335990371128261
V60,1,-0.253150782939265
V61,1,-0.275403301900738
V62,1,-0.33861184721583
V63,1,-0.323477574334035
V64,1,-0.30716323375303
V65,1,-0.258514537700748
V66,1,-0.354795031024459
V67,1,-0.253415980612566
V68,1,-0.251052495344226
V69,1,-0.319891710257529
V70,1,-0.32164096284739
V71,1,-0.268820460627985
V72,1,-0.316627020298256
V73,1,-0.280417902507921
V74,1,-0.31964309118419
V75,1,-0.262607017774577
V76,1,-0.286671584280896
V77,1,-0.28405220335101
V78,1,-0.290651877650674
V79,1,-0.315075045871048
V80,1,-0.32264897133112
V81,1,-0.347175007704486
V82,1,-0.299921224293513
V83,1,-0.26104377052522
V84,1,-0.292193337469563
V85,1,-0.333991019200063
V86,1,-0.23416178202401
V87,1,-0.304815312119871
V88,1,-0.22112754720866
V89,1,-0.200454770308696
V90,1,-0.255747095766395
V91,1,-0.265636964670371
V92,1,-0.292357867239865
V93,1,-0.317427431918738
V94,1,-0.257917312816808
V95,1,-0.285019961102023
V96,1,-0.296491923252106
V97,1,-0.249710168454591
V98,1,-0.288018445558521
V99,1,-0.218700561087474
V100,1,-0.215325660987808
V101,1,-0.241524461370254
V102,1,-0.261694544003888
V103,1,-0.199330636310023
V104,1,-0.31336197370549
V105,1,-0.229530550479055
V106,1,-0.334582568855787
V107,1,-0.305109090504239
V108,1,-0.28192581448647
V109,1,-0.309725686593481
V110,1,-0.219189686175874
V111,1,-0.228862659321216
V112,1,-0.2644804200145
V113,1,-0.287188278346768
V114,1,-0.292605466882151
V115,1,-0.373238332374449
V116,1,-0.285018007398229
V117,1,-0.274671307342125
V118,1,-0.319021670979268
V119,1,-0.274153561953895
V120,1,-0.303430843733452
V121,1,-0.287120287971526
V122,1,-0.333029489977754
V123,1,-0.297450782153611
V124,1,-0.299918917998184
V125,1,-0.287988338223535
V126,1,-0.340843023745904
V127,1,-0.281326227625193
V128,1,-0.219044579316559
V129,1,-0.314568070089678
V130,1,-0.359855727981589
V131,1,-0.243894158479499
V132,1,-0.322402516153282
V133,1,-0.340238578753095
V134,1,-0.227113513497933
V135,1,-0.235964064404655
V136,1,-0.262013892609843
V137,1,-0.283137347111357
V138,1,-0.286350686638713
V139,1,-0.26270041021494
V140,1,-0.318477275977216
V141,1,-0.281987893777064
V142,1,-0.270053621794553
V143,1,-0.344208071431886
V144,1,-0.300827969228145
V145,1,-0.275790648555976
V146,1,-0.243041599348395
