sim,q,diff
V1,1,-0.308508780854865
V2,1,-0.458937455977342
V3,1,-0.421788948822361
V4,1,-0.420165894239773
V5,1,-0.344834835433254
V6,1,-0.397532696529815
V7,1,-0.452158509073875
V8,1,-0.401505642119425
V9,1,-0.332975820465386
V10,1,-0.315750267353558
V11,1,-0.460988590685034
V12,1,-0.356365075101216
V13,1,-0.369021879128425
V14,1,-0.383734765661742
V15,1,-0.376329533703704
V16,1,-0.354571526260912
V17,1,-0.448553876362283
V18,1,-0.432874901515049
V19,1,-0.303916556243834
V20,1,-0.436369771744168
V21,1,-0.388421624350684
V22,1,-0.407870509665322
V23,1,-0.363087137308739
V24,1,-0.351881400619284
V25,1,-0.41582802545252
V26,1,-0.335756710146448
V27,1,-0.316087623833532
V28,1,-0.374568529114924
V29,1,-0.398369211532192
V30,1,-0.372871695987413
V31,1,-0.432937482586915
V32,1,-0.291565348364685
V33,1,-0.319355066809557
V34,1,-0.390654963790873
V35,1,-0.368383202453053
V36,1,-0.364758740270197
V37,1,-0.328143019108182
V38,1,-0.379329285430018
V39,1,-0.358355146876022
V40,1,-0.473871518768803
V41,1,-0.374511785637353
V42,1,-0.358785458740378
V43,1,-0.385260864102584
V44,1,-0.416053972188671
V45,1,-0.347024616498508
V46,1,-0.330135632225797
V47,1,-0.446448456028421
V48,1,-0.37403948608393
V49,1,-0.343249275175452
V50,1,-0.307039378910297
V51,1,-0.371766781981542
V52,1,-0.400532278909203
V53,1,-0.371670230068752
V54,1,-0.36237417715261
V55,1,-0.388646546414485
V56,1,-0.429022790541154
V57,1,-0.326225318186935
V58,1,-0.35524066559914
V59,1,-0.453824244677485
V60,1,-0.348617766402448
V61,1,-0.369681959772748
V62,1,-0.360918315333642
V63,1,-0.429135209232236
V64,1,-0.352523678855569
V65,1,-0.410383065672576
V66,1,-0.357421178506073
V67,1,-0.365593755877896
V68,1,-0.327191823990809
V69,1,-0.4005528497092
V70,1,-0.406174326561114
V71,1,-0.38334140652141
V72,1,-0.427471741085668
V73,1,-0.447501392052779
V74,1,-0.52704391264848
V75,1,-0.403682020773857
V76,1,-0.420844663641844
V77,1,-0.390787313380102
V78,1,-0.350005907299931
V79,1,-0.433513271604021
V80,1,-0.315604943262883
V81,1,-0.382326629972262
V82,1,-0.338469882170422
V83,1,-0.345593170208936
V84,1,-0.414092469542723
V85,1,-0.376027327566533
V86,1,-0.393026114377683
V87,1,-0.421042698771601
V88,1,-0.444153510674092
V89,1,-0.296578618345833
V90,1,-0.406502275231389
V91,1,-0.393967375181973
V92,1,-0.486933904855654
V93,1,-0.35196204735081
V94,1,-0.402318151148258
V95,1,-0.337001338057824
V96,1,-0.371113782877508
V97,1,-0.410358987045655
V98,1,-0.377457139756466
V99,1,-0.396472666128759
V100,1,-0.480015708311754
V101,1,-0.401368499230316
V102,1,-0.337876595779825
V103,1,-0.364679655862311
V104,1,-0.403045322713304
V105,1,-0.320842748832099
V106,1,-0.374782388545341
V107,1,-0.414979650873846
V108,1,-0.308933836683337
V109,1,-0.369700537438362
V110,1,-0.410267383551158
V111,1,-0.365113379264031
V112,1,-0.37701306485053
V113,1,-0.401655823443932
V114,1,-0.440982039637362
V115,1,-0.301202626017371
V116,1,-0.370514586614171
V117,1,-0.353508353038691
V118,1,-0.390055039048725
V119,1,-0.444018311996757
V120,1,-0.398494516686171
V121,1,-0.408564293172233
V122,1,-0.406807902816503
V123,1,-0.477413494195886
V124,1,-0.438544528832651
V125,1,-0.283890427998514
V126,1,-0.415829774639725
V127,1,-0.435423733718551
V128,1,-0.355039691443935
V129,1,-0.459375560779726
V130,1,-0.355257662071544
V131,1,-0.407130628019246
V132,1,-0.403825664565332
V133,1,-0.355682311996439
V134,1,-0.396413334999906
V135,1,-0.395720226429184
V136,1,-0.386079266961978
V137,1,-0.32682728362925
V138,1,-0.405236927386326
V139,1,-0.419430646058025
V140,1,-0.357434602440343
V141,1,-0.246594975424138
V142,1,-0.407583080328692
V143,1,-0.297137035476162
V144,1,-0.346145945392351
V145,1,-0.397294571890214
V146,1,-0.405701438650489
V147,1,-0.349402438689189
V148,1,-0.409760747621988
V149,1,-0.474112376815327
V150,1,-0.310888352302527
V151,1,-0.29486228040809
V152,1,-0.39582996557364
V153,1,-0.343438878112494
V154,1,-0.367203893365442
V155,1,-0.393162410570916
V156,1,-0.263736536093276
V157,1,-0.353951551302416
V158,1,-0.464637766089979
V159,1,-0.407709860680036
V160,1,-0.236533109693099
V161,1,-0.386943327135661
V162,1,-0.298606602842966
V163,1,-0.41736426025372
V164,1,-0.428986598873713
V165,1,-0.422228672853713
V166,1,-0.421009135747184
V167,1,-0.367586481260958
V168,1,-0.390316467006279
V169,1,-0.479357563161777
V170,1,-0.3713005976755
V171,1,-0.358959780085733
V172,1,-0.440042119917429
V173,1,-0.369428486899793
V174,1,-0.412791396460648
V175,1,-0.344599631002914
V176,1,-0.367785187843992
V177,1,-0.41357769660852
V178,1,-0.405225599332766
V179,1,-0.377148689126948
V180,1,-0.390018294266348
V181,1,-0.348413385515485
V182,1,-0.454138620354442
V183,1,-0.332753657225432
V184,1,-0.319670356370985
V185,1,-0.42617561874016
V186,1,-0.40526465843616
V187,1,-0.405930519936021
V188,1,-0.366562145599573
V189,1,-0.402287625970367
V190,1,-0.406792382602283
V191,1,-0.431265787675159
V192,1,-0.367006493137708
V193,1,-0.372177935314475
V194,1,-0.372117929298049
V195,1,-0.377195485900195
V196,1,-0.407714222195821
V197,1,-0.38047581230984
V198,1,-0.304093165962527
V199,1,-0.290699375402731
V200,1,-0.357470769474276
V201,1,-0.32840810316273
V202,1,-0.314174904421151
V203,1,-0.373347831700762
V204,1,-0.48576905426517
V205,1,-0.377709894895808
V206,1,-0.38481882584356
V207,1,-0.299469607914041
V208,1,-0.398312572062807
V209,1,-0.373954985958768
V210,1,-0.394949714366007
V211,1,-0.459079783994881
V212,1,-0.441259807060249
V213,1,-0.357670435677456
V214,1,-0.384093408063052
V215,1,-0.387183022428353
V216,1,-0.360757438638458
V217,1,-0.376824142536684
V218,1,-0.33450366995627
V219,1,-0.27812480226401
V220,1,-0.454098309447012
V221,1,-0.33777014811492
V222,1,-0.361257286351673
V223,1,-0.390062677307029
V224,1,-0.405207615562624
V225,1,-0.305851079814168
V226,1,-0.352378994925495
V227,1,-0.43375329228229
V228,1,-0.389032573387254
V229,1,-0.349161641537158
V230,1,-0.424660414733147
V231,1,-0.286433332950217
V232,1,-0.362778075495207
V233,1,-0.376533561161324
V234,1,-0.319441655321867
V235,1,-0.340780152295089
V236,1,-0.356257112640321
V237,1,-0.336046468068282
V238,1,-0.352876091956233
V239,1,-0.358518938840582
V240,1,-0.315685410369589
V241,1,-0.417661138786897
V242,1,-0.431607908185981
V243,1,-0.340186766571279
V244,1,-0.370232920520614
V245,1,-0.349323014733052
V246,1,-0.396927923011276
V247,1,-0.397965236647622
V248,1,-0.443804669024686
V249,1,-0.369782536451631
V250,1,-0.337857082234677
V251,1,-0.373735395100518
V252,1,-0.396211516183122
V253,1,-0.449741577302405
V254,1,-0.366731899844076
V255,1,-0.427187490669859
V256,1,-0.34648619990498
V257,1,-0.386732376915141
V258,1,-0.363675611304672
V259,1,-0.316250704192854
V260,1,-0.304020380799017
V261,1,-0.400820331139194
V262,1,-0.363340860442065
V263,1,-0.329674027831324
V264,1,-0.423784783632854
V265,1,-0.375758137561505
V266,1,-0.406865522614943
V267,1,-0.42709203841455
V268,1,-0.323438189912274
V269,1,-0.403256843909396
V270,1,-0.401194235711685
V271,1,-0.406783239752848
V272,1,-0.403770913302765
V273,1,-0.37997964489891
V274,1,-0.352942073087391
V275,1,-0.363433208264041
V276,1,-0.40505766857482
V277,1,-0.395440419155293
V278,1,-0.274441560999428
V279,1,-0.366781123768625
V280,1,-0.385054231403231
V281,1,-0.348425294724827
V282,1,-0.344307072515676
V283,1,-0.433749631482939
V284,1,-0.387737085138518
V285,1,-0.293473534171888
V286,1,-0.311587937180327
V287,1,-0.39290443763791
V288,1,-0.338942014218716
V289,1,-0.296669704032738
V290,1,-0.311388382241411
V291,1,-0.412160539006095
V292,1,-0.437944469411185
V293,1,-0.392057264086205
V294,1,-0.395749237577121
V295,1,-0.340727033256371
V296,1,-0.400586831675149
V297,1,-0.369734151891485
V298,1,-0.359365508468663
V299,1,-0.380846996832204
V300,1,-0.388063898235352
V301,1,-0.276528356030951
V302,1,-0.311162683991107
V303,1,-0.408237048145097
V304,1,-0.451283892978978
V305,1,-0.388890329068239
V306,1,-0.309064727537084
V307,1,-0.310044538321066
V308,1,-0.292609011489468
V309,1,-0.420819508919188
V310,1,-0.395817807829097
V311,1,-0.386690323972452
V312,1,-0.404106689463653
V313,1,-0.354560789153744
V314,1,-0.39391043524131
V315,1,-0.379238675936129
V316,1,-0.321857098381834
V317,1,-0.40736748678605
V318,1,-0.379540080493477
V319,1,-0.443028833530839
V320,1,-0.379244546619752
V321,1,-0.385301953757292
V322,1,-0.38700062144342
V323,1,-0.396730103600845
V324,1,-0.362711036921382
V325,1,-0.425728671298728
V326,1,-0.353013160866617
V327,1,-0.437047965335715
V328,1,-0.410427766683334
V329,1,-0.372281887874387
V330,1,-0.453981016312213
V331,1,-0.349708069433895
V332,1,-0.414562126605169
V333,1,-0.375181843224183
V334,1,-0.357206110006224
V335,1,-0.253317718772053
V336,1,-0.425173393073088
V337,1,-0.396910728945997
V338,1,-0.395861839862924
V339,1,-0.417032645525872
V340,1,-0.375266268754842
V341,1,-0.404293623693889
V342,1,-0.379988025222644
V343,1,-0.35892247799093
V344,1,-0.46151530414447
V345,1,-0.466316929017914
V346,1,-0.294534309833317
V347,1,-0.367404348781911
V348,1,-0.404215825618223
V349,1,-0.383796458607186
V350,1,-0.344857301014116
V351,1,-0.414879574461153
V352,1,-0.383590943790416
V353,1,-0.346107418205527
V354,1,-0.335427603091567
V355,1,-0.369807906645725
V356,1,-0.413337340384516
V357,1,-0.340887505199859
V358,1,-0.321853914239981
V359,1,-0.439310752529593
V360,1,-0.430100362538227
V361,1,-0.337872277234553
V362,1,-0.306613722279096
V363,1,-0.356961353347856
V364,1,-0.385783194678425
V365,1,-0.465181722832888
V366,1,-0.370287742731634
V367,1,-0.339505223635157
V368,1,-0.358157284370165
V369,1,-0.423631993045767
V370,1,-0.378917277853738
V371,1,-0.397098812997676
V372,1,-0.353269786447171
V373,1,-0.394242551249732
V374,1,-0.342946194957506
V375,1,-0.317943611135121
V376,1,-0.365068739598648
V377,1,-0.416547683261904
V378,1,-0.332128603184493
V379,1,-0.389861164537983
V380,1,-0.381519910486325
V381,1,-0.447150803354006
V382,1,-0.437564554812013
V383,1,-0.358959377827766
V384,1,-0.461998941314953
V385,1,-0.350560204699853
V386,1,-0.375950691658652
V387,1,-0.352075708998534
V388,1,-0.371519359031048
V389,1,-0.369022752433771
V390,1,-0.382705346418248
V391,1,-0.377033548611905
V392,1,-0.40535884767008
V393,1,-0.344748117297698
