sim,q,diff
V1,1,0.510549943998967
V2,1,0.432135632633845
V3,1,0.461997405924294
V4,1,0.460461547219893
V5,1,0.436279474055553
V6,1,0.4406749683057
V7,1,0.521911306457511
V8,1,0.47869070338318
V9,1,0.483193098210251
V10,1,0.425697840071052
V11,1,0.453039691279471
V12,1,0.468546340506236
V13,1,0.509052584711
V14,1,0.432671938257428
V15,1,0.408572466354684
V16,1,0.435221248776642
V17,1,0.448881897074713
V18,1,0.48489385123365
V19,1,0.439035780414557
V20,1,0.511418881137956
V21,1,0.39846963920445
V22,1,0.446702904416483
V23,1,0.486946890167673
V24,1,0.472770661282354
V25,1,0.479159610566612
V26,1,0.458248539565275
V27,1,0.491132316764308
V28,1,0.461261218445898
V29,1,0.407355219033903
V30,1,0.507216797297744
V31,1,0.50376077825652
V32,1,0.4143499688508
V33,1,0.446329190472639
V34,1,0.447782987201848
V35,1,0.438910813051081
V36,1,0.480991939072766
V37,1,0.376864757049191
V38,1,0.439482716902461
V39,1,0.495848137314539
V40,1,0.41786116852434
V41,1,0.503815814979092
V42,1,0.527878274157217
V43,1,0.380268915655819
V44,1,0.490329972087238
V45,1,0.455761231134474
V46,1,0.420871728164542
V47,1,0.43995566944848
V48,1,0.434319107903974
V49,1,0.519475355781452
V50,1,0.449305014615334
V51,1,0.571367570703075
V52,1,0.413160318356731
V53,1,0.420412453891274
V54,1,0.421031302710261
V55,1,0.419959771178256
V56,1,0.461982039779045
V57,1,0.482226083205561
V58,1,0.452472899985509
V59,1,0.422512938897569
V60,1,0.424876483635543
V61,1,0.495365280008727
V62,1,0.507180197917393
V63,1,0.504518106666524
V64,1,0.473002053225827
V65,1,0.455301122165011
V66,1,0.464729498806804
V67,1,0.434049649108715
V68,1,0.503077991694781
V69,1,0.473177115099375
V70,1,0.433160788497418
V71,1,0.414167657420734
V72,1,0.425232910544722
V73,1,0.336439897876176
V74,1,0.544483578397504
V75,1,0.495294229163122
V76,1,0.449595769204066
V77,1,0.421331428540682
V78,1,0.503347322400771
V79,1,0.454067673872956
V80,1,0.535073257285575
V81,1,0.487559152344474
V82,1,0.405136017780279
V83,1,0.479284764015503
V84,1,0.401938728589926
V85,1,0.548397905414291
V86,1,0.495902367585757
V87,1,0.503190954853466
V88,1,0.443356871816377
V89,1,0.434680025045495
V90,1,0.442258972670516
V91,1,0.437601318987035
V92,1,0.479592191680354
V93,1,0.447025906337814
V94,1,0.513361002122508
V95,1,0.432964472296689
V96,1,0.416226871732135
V97,1,0.404364016974228
V98,1,0.47035754024715
V99,1,0.540450865517599
V100,1,0.43427776572247
V101,1,0.48776661811732
V102,1,0.500372141137106
V103,1,0.431841022492108
V104,1,0.411282308592703
V105,1,0.434478968506781
V106,1,0.435972921639589
V107,1,0.402688884144794
V108,1,0.406416200813965
V109,1,0.451865542639197
V110,1,0.496825112852818
V111,1,0.486320447138539
V112,1,0.401913083151342
V113,1,0.480350516937833
V114,1,0.501699196054403
V115,1,0.455167642002721
V116,1,0.447570423796961
V117,1,0.457892956833675
V118,1,0.466314376439186
V119,1,0.484631546916674
V120,1,0.50652486132168
V121,1,0.400862434934524
V122,1,0.443480385324335
V123,1,0.434100929617571
V124,1,0.519148895391211
V125,1,0.465023195242608
V126,1,0.440272801091808
V127,1,0.473350859284608
V128,1,0.478921925457257
V129,1,0.462760555195786
V130,1,0.450618936321988
V131,1,0.501625697314637
V132,1,0.45537997871233
V133,1,0.436651606752761
V134,1,0.419274038643053
V135,1,0.438167464430734
V136,1,0.43583885299762
V137,1,0.423447734097962
V138,1,0.404256721411301
V139,1,0.451257374165309
V140,1,0.469818818017785
V141,1,0.424323099675192
V142,1,0.503256611099488
