sim,q,diff
V1,1,-0.49849600060945
V2,1,-0.456671988953858
V3,1,-0.498458834343992
V4,1,-0.471856444958334
V5,1,-0.502143291644359
V6,1,-0.538709121442679
V7,1,-0.462079616173355
V8,1,-0.542136606908343
V9,1,-0.536015138152422
V10,1,-0.509181029105079
V11,1,-0.46260267803892
V12,1,-0.482711998982353
V13,1,-0.529695000206118
V14,1,-0.552650762960155
V15,1,-0.469883732294107
V16,1,-0.460054390611418
V17,1,-0.447768556213717
V18,1,-0.544128724759659
V19,1,-0.519153123659052
V20,1,-0.528612697431527
V21,1,-0.512597673393174
V22,1,-0.509133657366462
V23,1,-0.496601623190614
V24,1,-0.564462430347859
V25,1,-0.46967378522352
V26,1,-0.422540690163032
V27,1,-0.535711000903163
V28,1,-0.501737447756099
V29,1,-0.577732678765486
V30,1,-0.435523284407282
V31,1,-0.510282424499053
V32,1,-0.468040721750526
V33,1,-0.51665768818421
V34,1,-0.457322212531054
V35,1,-0.563140193561011
V36,1,-0.566599642817351
V37,1,-0.501308077213636
V38,1,-0.471287234333033
V39,1,-0.519225143243673
V40,1,-0.459012318166288
V41,1,-0.464725397058643
V42,1,-0.4988074273504
V43,1,-0.524318236634073
V44,1,-0.482883828700096
V45,1,-0.541778870418355
V46,1,-0.511229877164851
V47,1,-0.583184295324671
V48,1,-0.516192296290427
V49,1,-0.557106369578236
V50,1,-0.43506981029212
V51,1,-0.489106917603834
V52,1,-0.482496595007319
V53,1,-0.458227570849246
V54,1,-0.557283451827601
V55,1,-0.493452270962692
V56,1,-0.506328972673387
V57,1,-0.478675893352502
V58,1,-0.472122089364973
V59,1,-0.55265794140081
V60,1,-0.41550481792288
V61,1,-0.457943718834301
V62,1,-0.477824841751158
V63,1,-0.520538429159444
V64,1,-0.482372369169696
V65,1,-0.489851189209745
V66,1,-0.521177521904775
V67,1,-0.489654334969444
V68,1,-0.512310904052214
V69,1,-0.421376243212819
V70,1,-0.488820404043665
V71,1,-0.407257212363831
V72,1,-0.49263328421074
V73,1,-0.509683739116554
V74,1,-0.519629176065095
V75,1,-0.45342251777565
V76,1,-0.457075985054331
V77,1,-0.531901034907975
V78,1,-0.589560129404489
V79,1,-0.517121289578725
V80,1,-0.470591104185658
V81,1,-0.488799032465821
V82,1,-0.482051457264745
V83,1,-0.47989762230462
V84,1,-0.520718243725526
V85,1,-0.500568223952669
V86,1,-0.470320003622547
V87,1,-0.54099241560256
V88,1,-0.455842701844659
V89,1,-0.490584793832952
V90,1,-0.552185872404436
V91,1,-0.501108407951037
V92,1,-0.521963831583079
V93,1,-0.588384486187721
V94,1,-0.464399497954261
V95,1,-0.463367756882491
V96,1,-0.478381292930649
V97,1,-0.486407980102385
V98,1,-0.55294177569111
V99,1,-0.507689437464151
V100,1,-0.526335007899505
V101,1,-0.512358617994323
V102,1,-0.502400891789634
V103,1,-0.485348011913047
V104,1,-0.534268264653392
V105,1,-0.519295122426229
V106,1,-0.441484414800598
V107,1,-0.459174304461797
V108,1,-0.51303742348874
V109,1,-0.526424470156343
V110,1,-0.492851921491763
V111,1,-0.485782179762268
V112,1,-0.484012057198029
V113,1,-0.404059202218619
V114,1,-0.480146526554975
V115,1,-0.4605033275392
V116,1,-0.437875808191762
V117,1,-0.487981903504959
V118,1,-0.475218993474869
V119,1,-0.515269201605491
V120,1,-0.511097281986793
V121,1,-0.508268333090129
V122,1,-0.502971717820032
V123,1,-0.530188324992423
V124,1,-0.481188584926883
V125,1,-0.504444745642431
V126,1,-0.515029197385829
V127,1,-0.450282741094242
V128,1,-0.515782726143968
V129,1,-0.484946447838027
V130,1,-0.519326123673935
V131,1,-0.515251544518421
V132,1,-0.533456581836745
V133,1,-0.491800973449784
V134,1,-0.481966743881799
V135,1,-0.515997660921613
V136,1,-0.524552663115699
V137,1,-0.469010029202408
V138,1,-0.539579255061256
V139,1,-0.441076904007886
V140,1,-0.454102362301853
V141,1,-0.47577299712556
V142,1,-0.543591952617391
V143,1,-0.476305710756293
V144,1,-0.471051164475966
V145,1,-0.506535514381454
V146,1,-0.469481988548679
V147,1,-0.366662995936466
V148,1,-0.484192060310832
V149,1,-0.492942795221012
V150,1,-0.463254372791624
V151,1,-0.500103992763201
V152,1,-0.484778019522992
V153,1,-0.513374567828137
V154,1,-0.43865155207115
V155,1,-0.590768060559384
V156,1,-0.50585973120883
V157,1,-0.465747139029276
V158,1,-0.484136682510552
V159,1,-0.455640850233962
V160,1,-0.472023538222288
V161,1,-0.490557436288697
V162,1,-0.506647092961842
V163,1,-0.528880652825876
V164,1,-0.440426400020257
V165,1,-0.488787153407827
V166,1,-0.528282063621305
V167,1,-0.430943180652534
V168,1,-0.477152143253576
V169,1,-0.549769085065307
V170,1,-0.515406247433731
V171,1,-0.460834137550947
V172,1,-0.514921547033808
V173,1,-0.487340133340894
V174,1,-0.498768954757153
V175,1,-0.491402366392777
V176,1,-0.448289113305705
V177,1,-0.49020672830784
V178,1,-0.47462898186717
V179,1,-0.475720117319213
V180,1,-0.527547574799513
V181,1,-0.436261976428995
V182,1,-0.532657435515773
V183,1,-0.433274626060339
V184,1,-0.452025955628955
V185,1,-0.499643329260394
V186,1,-0.475321495481609
V187,1,-0.48539095895444
V188,1,-0.473801102115857
V189,1,-0.504158697757191
V190,1,-0.440794400515401
V191,1,-0.498524893128376
V192,1,-0.494796023557271
V193,1,-0.482186410627293
V194,1,-0.458733131478525
V195,1,-0.488102331343725
V196,1,-0.519646999479406
V197,1,-0.512470391835464
V198,1,-0.463246220838087
V199,1,-0.485840871964513
V200,1,-0.575705564053919
V201,1,-0.506568424229812
V202,1,-0.470816881983652
V203,1,-0.451928377567072
V204,1,-0.511558480303094
V205,1,-0.522473675567881
V206,1,-0.493121429917409
V207,1,-0.509059971718429
V208,1,-0.412717687410478
V209,1,-0.442274762570094
V210,1,-0.513657060760082
V211,1,-0.534534164789392
V212,1,-0.49860574278739
V213,1,-0.527596428316116
V214,1,-0.461308292923633
V215,1,-0.539317759704204
V216,1,-0.525882138214726
V217,1,-0.488140753123062
V218,1,-0.45896509199757
V219,1,-0.557058283830529
V220,1,-0.517299560490912
V221,1,-0.42215446543338
V222,1,-0.49120844201299
V223,1,-0.514842597104163
V224,1,-0.527261658982312
V225,1,-0.459598119066897
V226,1,-0.461079794036081
V227,1,-0.449561273809806
V228,1,-0.458677275478792
V229,1,-0.522289177210737
V230,1,-0.524532433195731
V231,1,-0.467908800835531
V232,1,-0.449462017192801
V233,1,-0.446747896005235
V234,1,-0.519104664146781
V235,1,-0.502690526459205
V236,1,-0.49528674740165
V237,1,-0.464994035723834
V238,1,-0.476191774011582
V239,1,-0.506617521717004
V240,1,-0.414597297168541
