sim,q,diff
V1,1,-0.520406488695343
V2,1,-0.512692845971586
V3,1,-0.503973800667282
V4,1,-0.441646236982777
V5,1,-0.494157571808799
V6,1,-0.40366327107057
V7,1,-0.543682505711203
V8,1,-0.478650468434381
V9,1,-0.486226806629801
V10,1,-0.459447161563034
V11,1,-0.462141850880002
V12,1,-0.497757092767387
V13,1,-0.516205850124806
V14,1,-0.462054720951258
V15,1,-0.511654103510281
V16,1,-0.472039949674809
V17,1,-0.539613846803121
V18,1,-0.46049010307496
V19,1,-0.46543058441388
V20,1,-0.490564457413498
V21,1,-0.53056288796175
V22,1,-0.492847423107605
V23,1,-0.448136113777224
V24,1,-0.509612891050693
V25,1,-0.536134718864801
V26,1,-0.50149574868351
V27,1,-0.539942285504225
V28,1,-0.464543726363488
V29,1,-0.442029471369921
V30,1,-0.453326840800045
V31,1,-0.532166248226517
V32,1,-0.425651458300408
V33,1,-0.47498868072249
V34,1,-0.428690206420811
V35,1,-0.49389036762102
V36,1,-0.546998378058433
V37,1,-0.511783988304615
V38,1,-0.532396951167144
V39,1,-0.505592463765879
V40,1,-0.553163244693337
V41,1,-0.449417908760864
V42,1,-0.490858009344308
V43,1,-0.531769351906362
V44,1,-0.554424677057483
V45,1,-0.504299127928206
V46,1,-0.425935616916561
V47,1,-0.414687989835173
V48,1,-0.461206083286584
V49,1,-0.555375732584807
V50,1,-0.508547881406855
V51,1,-0.497059868882673
V52,1,-0.491529039276884
V53,1,-0.499059630010521
V54,1,-0.546418605983462
V55,1,-0.52388965613784
V56,1,-0.541168715608691
V57,1,-0.517064853525255
V58,1,-0.475318675177249
V59,1,-0.450665842567133
V60,1,-0.506075113100877
V61,1,-0.515928813372355
V62,1,-0.483831592318552
V63,1,-0.517314638367083
V64,1,-0.556184690412138
V65,1,-0.491822212105433
V66,1,-0.374871332086428
V67,1,-0.429989436616268
V68,1,-0.460179413177713
V69,1,-0.442793618852988
V70,1,-0.456860543632288
V71,1,-0.474542941450409
V72,1,-0.532897899890187
V73,1,-0.491731813571633
V74,1,-0.478663003087902
V75,1,-0.522021042548232
V76,1,-0.490396377518678
V77,1,-0.54796877910205
V78,1,-0.465737413122753
V79,1,-0.484229019603987
V80,1,-0.47020876240147
V81,1,-0.499911557101072
V82,1,-0.475449718366335
V83,1,-0.551013344342366
V84,1,-0.517830972194602
V85,1,-0.480639821370801
V86,1,-0.532729123777401
V87,1,-0.385931569949221
V88,1,-0.479927324521185
V89,1,-0.507767536332082
V90,1,-0.500956959964313
V91,1,-0.467835899540546
V92,1,-0.46611560211764
V93,1,-0.5071503624782
V94,1,-0.480665353361843
V95,1,-0.507275988873474
V96,1,-0.446693174206416
V97,1,-0.432535651410731
V98,1,-0.526610302319313
V99,1,-0.483260869397313
V100,1,-0.527587383965738
V101,1,-0.470316844673079
V102,1,-0.535267739663837
V103,1,-0.45194856672795
V104,1,-0.446755767302577
V105,1,-0.505044975022017
V106,1,-0.515813533746822
V107,1,-0.46687529641639
V108,1,-0.407590914942034
V109,1,-0.541564737527679
V110,1,-0.444523079948866
V111,1,-0.477553765458268
V112,1,-0.534394243726212
V113,1,-0.450905846076552
V114,1,-0.517743681051911
V115,1,-0.491488365313103
V116,1,-0.442676689056285
V117,1,-0.506015420436825
V118,1,-0.482643701469286
V119,1,-0.491838606810049
V120,1,-0.442844770934713
V121,1,-0.520334637721405
V122,1,-0.446855371723558
V123,1,-0.551138057434585
V124,1,-0.59873859706785
V125,1,-0.499019349314963
V126,1,-0.519789715548598
V127,1,-0.516626162994797
V128,1,-0.497578851827939
V129,1,-0.505732849517813
V130,1,-0.459458833355626
V131,1,-0.505473088767545
V132,1,-0.561630960218665
V133,1,-0.488773489683894
V134,1,-0.544812424413223
V135,1,-0.45200048090237
V136,1,-0.487906856507536
V137,1,-0.548244241008547
V138,1,-0.446285347678298
V139,1,-0.495278072870747
V140,1,-0.528774713103204
V141,1,-0.421318959051021
V142,1,-0.462775385944198
V143,1,-0.584219073254872
V144,1,-0.501765397759186
V145,1,-0.527584969209059
V146,1,-0.436077839309732
V147,1,-0.491615094620613
V148,1,-0.420756954489306
V149,1,-0.466577190020431
V150,1,-0.46389707360386
V151,1,-0.542016242668368
V152,1,-0.421424720329782
V153,1,-0.433591604626344
V154,1,-0.483574710225483
V155,1,-0.467336055266927
V156,1,-0.493432615247386
V157,1,-0.525354478316658
V158,1,-0.48762582657254
V159,1,-0.490459839151455
V160,1,-0.458762318837515
V161,1,-0.443690965363388
V162,1,-0.515618291777159
V163,1,-0.532252272599294
V164,1,-0.490101363439408
V165,1,-0.465658413466784
V166,1,-0.416144884462739
V167,1,-0.535908988569261
V168,1,-0.533886928851246
V169,1,-0.480359605020269
V170,1,-0.564730573915611
V171,1,-0.44764512879469
V172,1,-0.472052424472395
V173,1,-0.502668880151518
V174,1,-0.462125751926052
V175,1,-0.508114348753907
V176,1,-0.55927892321202
V177,1,-0.473636467548474
V178,1,-0.479884710475915
V179,1,-0.478032880692268
V180,1,-0.530230706005739
V181,1,-0.496962989716721
V182,1,-0.485191488614603
V183,1,-0.446339079469638
V184,1,-0.471295952378583
V185,1,-0.470564764480415
V186,1,-0.556103287003779
V187,1,-0.424479999439839
V188,1,-0.504702680925135
V189,1,-0.504235667938417
V190,1,-0.498319617580179
V191,1,-0.475511741494145
V192,1,-0.528730472665487
V193,1,-0.456278737856266
V194,1,-0.491023760870391
V195,1,-0.445772826450948
V196,1,-0.480877589569573
V197,1,-0.569245593943435
V198,1,-0.444130406552347
V199,1,-0.494725467079235
V200,1,-0.546592119872599
V201,1,-0.41558608931112
V202,1,-0.534077555455966
V203,1,-0.450540230461172
V204,1,-0.41578045447551
V205,1,-0.496534849943544
V206,1,-0.50650407481119
V207,1,-0.591078291068428
V208,1,-0.504150270971266
V209,1,-0.476686745689364
V210,1,-0.468368430126191
V211,1,-0.442383421394695
V212,1,-0.533100229778526
V213,1,-0.488743382892963
V214,1,-0.517505299202014
V215,1,-0.568459869612269
V216,1,-0.493918495680688
V217,1,-0.510999593165394
V218,1,-0.533373138259364
V219,1,-0.485353884887047
V220,1,-0.429272833813542
V221,1,-0.47630303510509
V222,1,-0.436400283035411
V223,1,-0.511950836499423
V224,1,-0.507807128709374
V225,1,-0.498354570818265
V226,1,-0.531985547209104
V227,1,-0.510516519159864
V228,1,-0.509236567643868
V229,1,-0.518430226105039
V230,1,-0.484443454146174
V231,1,-0.396222474410493
V232,1,-0.544085279972094
V233,1,-0.51244463861434
V234,1,-0.482410245748625
V235,1,-0.457608005914196
V236,1,-0.496858921923263
V237,1,-0.485065074532599
V238,1,-0.499932177777069
V239,1,-0.50049384606838
V240,1,-0.544465201718552
V241,1,-0.486122256258184
V242,1,-0.531737111156346
V243,1,-0.446748931987699
V244,1,-0.544449483242516
V245,1,-0.515257720504366
V246,1,-0.491623654310004
V247,1,-0.464026461193754
V248,1,-0.48681538762574
V249,1,-0.53670625440499
V250,1,-0.543044745627228
V251,1,-0.444319125198831
V252,1,-0.519024191175248
V253,1,-0.498972200942987
V254,1,-0.483416923124636
